Global_ID,Level_ID,Level,Task,Answer
1,1,Начальная школа,5 + 7,12
2,2,Начальная школа,14 + 18,32
3,3,Начальная школа,25 + 36,61
4,4,Начальная школа,47 + 22,69
5,5,Начальная школа,68 + 15,83
6,6,Начальная школа,100 - 45,55
7,7,Начальная школа,82 - 37,45
8,8,Начальная школа,64 - 19,45
9,9,Начальная школа,55 - 26,29
10,10,Начальная школа,30 - 14,16
11,11,Начальная школа,3 * 4,12
12,12,Начальная школа,5 * 6,30
13,13,Начальная школа,7 * 8,56
14,14,Начальная школа,9 * 4,36
15,15,Начальная школа,6 * 7,42
16,16,Начальная школа,24 / 6,4
17,17,Начальная школа,35 / 5,7
18,18,Начальная школа,48 / 8,6
19,19,Начальная школа,81 / 9,9
20,20,Начальная школа,63 / 7,9
21,21,Начальная школа,12 + 34 + 18,64
22,22,Начальная школа,50 - 12 - 15,23
23,23,Начальная школа,2 * 3 * 4,24
24,24,Начальная школа,100 / 10 / 2,5
25,25,Начальная школа,(15 + 5) * 2,40
26,26,Начальная школа,40 / (12 - 4),5
27,27,Начальная школа,7 * 9 + 12,75
28,28,Начальная школа,64 / 8 + 20,28
29,29,Начальная школа,100 - 8 * 8,36
30,30,Начальная школа,50 + 45 / 9,55
31,31,Начальная школа,Найдите сумму 18 и 42.,60
32,32,Начальная школа,Найдите разность 75 и 25.,50
33,33,Начальная школа,Увеличьте 8 в 6 раз.,48
34,34,Начальная школа,Уменьшите 42 в 7 раз.,6
35,35,Начальная школа,В классе 15 мальчиков и 12 девочек. Сколько всего детей в классе?,27
36,36,Начальная школа,У Пети было 50 рублей. Он купил мороженое за 35 рублей. Сколько сдачи он получит?,15
37,37,Начальная школа,В 4 одинаковых коробках 36 карандашей. Сколько карандашей в одной коробке?,9
38,38,Начальная школа,Машина ехала 2 часа со скоростью 60 км/ч. Какое расстояние она проехала?,120
39,39,Начальная школа,"Длина прямоугольника 8 см, ширина 4 см. Найдите его периметр.",24
40,40,Начальная школа,Сторона квадрата 5 см. Найдите его площадь.,25
41,41,Начальная школа,Выразите в сантиметрах: 2 м 15 см.,215
42,42,Начальная школа,Выразите в минутах: 1 час 20 минут.,80
43,43,Начальная школа,Сравните значения выражений: 45 + 15 и 70 - 10.,60
44,44,Начальная школа,Вставьте пропущенное число: ... + 14 = 30.,16
45,45,Начальная школа,Вставьте пропущенное число: 5 * ... = 45.,9
46,46,Начальная школа,"На ветке сидело 12 птиц, 5 улетело. Сколько птиц осталось?",7
47,47,Начальная школа,Бабушка испекла 20 пирожков. 5 съели за обедом. Сколько пирожков осталось?,15
48,48,Начальная школа,Купили 3 кг яблок по 40 рублей. Сколько всего заплатили за покупку?,120
49,49,Начальная школа,"Альбом стоит 60 рублей, а ручка в 3 раза дешевле. Сколько стоит ручка?",20
50,50,Начальная школа,"Сумма двух чисел равна 20, одно из них 13. Найдите второе число.",7
51,1,Средняя школа,Решите уравнение: x + 24 = 61,37
52,2,Средняя школа,Решите уравнение: y - 17 = 35,52
53,3,Средняя школа,Решите уравнение: 4a = 52,13
54,4,Средняя школа,Решите уравнение: b / 5 = 12,60
55,5,Средняя школа,Решите уравнение: 2x + 7 = 21,7
56,6,Средняя школа,Решите уравнение: 5y - 14 = 36,10
57,7,Средняя школа,Вычислите: 1/3 + 1/6,1/2
58,8,Средняя школа,Вычислите: 3/4 - 1/2,1/4
59,9,Средняя школа,Вычислите: 2/5 * 15/8,3/4
60,10,Средняя школа,Вычислите: 7/9 : 14/3,1/6
61,11,Средняя школа,Вычислите: 1.5 + 2.8,4.3
62,12,Средняя школа,Вычислите: 5.4 - 3.7,1.7
63,13,Средняя школа,Вычислите: 2.5 * 4,10
64,14,Средняя школа,Вычислите: 8.4 : 2,4.2
65,15,Средняя школа,Найдите 20% от числа 150.,30
66,16,Средняя школа,Число 40 увеличили на 10%. Какое число получилось?,44
67,17,Средняя школа,Товар стоил 200 рублей. Его цена снизилась на 15%. Какова новая цена?,170
68,18,Средняя школа,Вычислите: 3^4,81
69,19,Средняя школа,Вычислите: 5^3,125
70,20,Средняя школа,Вычислите: (-2)^5,-32
71,21,Средняя школа,Найдите значение: sqrt(81),9
72,22,Средняя школа,Найдите значение: sqrt(144),12
73,23,Средняя школа,Вычислите: sqrt(25) + sqrt(64),13
74,24,Средняя школа,Упростите выражение: 2a + 3b - a + 4b,a+7b
75,25,Средняя школа,Раскройте скобки: 3(x - 4),3x-12
76,26,Средняя школа,Вынесите общий множитель за скобки: 6x^2 + 9x,3x(2x+3)
77,27,Средняя школа,"Решите систему уравнений: x + y = 10, x - y = 4",7 3
78,28,Средняя школа,Решите неравенство: 2x > 10,x>5
79,29,Средняя школа,Решите неравенство: 3x - 5 <= 16,x<=7
80,30,Средняя школа,Найдите наибольший общий делитель (НОД) чисел 24 и 36.,12
81,31,Средняя школа,Найдите наименьшее общее кратное (НОК) чисел 12 и 15.,60
82,32,Средняя школа,"Периметр прямоугольника равен 30 см, его длина 9 см. Найдите ширину.",6
83,33,Средняя школа,Площадь квадрата равна 49. Найдите длину его стороны.,7
84,34,Средняя школа,Найдите площадь прямоугольного треугольника с катетами 6 и 8.,24
